ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
DeSantis,7/14/2024 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,100
Trump,7/14/2024 0:00,$0.65 ,$0.68 ,$0.64 ,$0.67 ,111809
Biden,7/14/2024 0:00,$0.25 ,$0.27 ,$0.21 ,$0.27 ,74965
Harris,7/14/2024 0:00,$0.14 ,$0.16 ,$0.09 ,$0.12 ,58006
Buttigieg,7/14/2024 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,10450
Newsom,7/14/2024 0:00,$0.05 ,$0.06 ,$0.04 ,$0.04 ,25871
Ramaswamy,7/14/2024 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Scott,7/14/2024 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,85000
RFK Jr.,7/14/2024 0:00,$0.02 ,$0.03 ,$0.02 ,$0.03 ,7612
Haley,7/14/2024 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,11858
DeSantis,7/15/2024 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,51
Trump,7/15/2024 0:00,$0.67 ,$0.70 ,$0.66 ,$0.69 ,127660
Biden,7/15/2024 0:00,$0.27 ,$0.28 ,$0.24 ,$0.24 ,95012
Harris,7/15/2024 0:00,$0.12 ,$0.15 ,$0.10 ,$0.13 ,86905
Buttigieg,7/15/2024 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,14192
Newsom,7/15/2024 0:00,$0.04 ,$0.05 ,$0.03 ,$0.03 ,27501
Ramaswamy,7/15/2024 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,25
Scott,7/15/2024 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,100
RFK Jr.,7/15/2024 0:00,$0.03 ,$0.03 ,$0.02 ,$0.02 ,14909
Haley,7/15/2024 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,28457
DeSantis,7/16/2024 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,1273
Trump,7/16/2024 0:00,$0.69 ,$0.70 ,$0.67 ,$0.67 ,87327
Biden,7/16/2024 0:00,$0.24 ,$0.30 ,$0.24 ,$0.28 ,81786
Harris,7/16/2024 0:00,$0.13 ,$0.13 ,$0.09 ,$0.10 ,82804
Buttigieg,7/16/2024 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,14135
Newsom,7/16/2024 0:00,$0.03 ,$0.04 ,$0.03 ,$0.04 ,17679
Ramaswamy,7/16/2024 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,314
Scott,7/16/2024 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,26
RFK Jr.,7/16/2024 0:00,$0.02 ,$0.03 ,$0.02 ,$0.02 ,13630
Haley,7/16/2024 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,9532
