Dates,Sample Size,Sample Type,Pollster,Sponsor,Kamala Haris,Donald Trump,Net result
Aug. 9-11,"11,778",RV,Morning Consult,,47%,44%,Harris
Aug. 9-11,757,LV,Big Village,,47%,44%,Harris
Aug. 9-11,848,RV,Big Village,,46%,42%,Harris
Aug. 9-11,"1,009",A,Big Village,,42%,39%,Harris
Aug. 7-8,"1,000",RV,Quantus Polls and News,,47%,46%,Harris
Aug. 6-8,"4,000",RV,Morning Consult,,48%,44%,Harris
Aug. 7,"2,584",LV,Redfield & Wilton Strategies,,47%,44%,Harris
Aug. 5-7,,LV,RMG Research,Napolitan Institute,49%,49%,
Aug. 5-7,"2,000",RV,RMG Research,Napolitan Institute,47%,46%,Harris
Aug. 2-7,"1,342",RV,Ipsos,,49%,47%,Harris
Aug. 2-7,"1,342",RV,Ipsos,,42%,37%,Harris
Aug. 4-6,"1,413",RV,YouGov,The Economist,45%,43%,Harris
July 30-Aug. 6,"1,000",LV,ActiVote,,45%,44%,Harris
July 30-Aug. 6,"1,000",LV,ActiVote,,50%,50%,
Aug. 3-5,"4,000",RV,Morning Consult,,47%,44%,Harris
Aug. 2-5,"1,510",LV,SurveyUSA,,48%,45%,Harris
